Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,55.76328,-78.396,0.0,top
C10,47pF,C_0603_1608Metric,53.411789,-62.917619,90.0,top
C11,100nF,C_0603_1608Metric,42.249,-60.38,-90.0,top
C12,100nF,C_0603_1608Metric,53.5344,-59.5164,-90.0,top
C13,560pF,C_0603_1608Metric,42.253748,-56.433015,90.0,top
C14,47pF,C_0603_1608Metric,51.886,-70.512,0.0,top
C2,47pF,C_0603_1608Metric,55.823,-80.926,90.0,top
C3,560pF,C_0603_1608Metric,47.028428,-65.067763,180.0,top
C4,10uF,CP_Elec_4x5.4,54.493,-52.08,180.0,top
C5,100nF,C_0603_1608Metric,42.008,-77.634,180.0,top
C6,10uF,CP_Elec_4x5.4,42.993,-52.08,180.0,top
C7,47pF,C_0603_1608Metric,55.203,-56.43,90.0,top
C8,47pF,C_0603_1608Metric,46.948,-72.051,180.0,top
C9,47pF,C_0603_1608Metric,43.265,-80.941,90.0,top
D1,1N5819,D_SOD-123,40.493,-43.98,-90.0,top
D4,1N5819,D_SOD-123,56.993,-43.98,90.0,top
FB1,FerriteBead,R_0603_1608Metric,40.493,-39.655,-90.0,top
FB2,FerriteBead,R_0603_1608Metric,56.993,-39.655,-90.0,top
R10,100K,R_0603_1608Metric,40.852,-81.322,180.0,top
R12,1K,R_0603_1608Metric,57.474,-80.926,90.0,top
R13,100K,R_0603_1608Metric,53.552,-56.43,90.0,top
R14,10K,R_0603_1608Metric,43.9,-56.43,-90.0,top
R15,100K,R_0603_1608Metric,48.726,-54.017,0.0,top
R16,1K,R_0603_1608Metric,40.58972,-56.427385,90.0,top
R17,100K,R_0603_1608Metric,56.938,-57.4206,-90.0,top
R18,100K,R_0603_1608Metric,53.425,-66.082,-90.0,top
R19,100K,R_0603_1608Metric,50.885,-65.066,180.0,top
R20,100K,R_0603_1608Metric,50.885,-66.717,0.0,top
R21,10K,R_0603_1608Metric,44.027,-62.907,90.0,top
R22,1K,R_0603_1608Metric,44.027,-67.225,90.0,top
R23,100K,R_0603_1608Metric,47.06,-70.258,0.0,top
R24,100K,R_0603_1608Metric,51.886,-68.607,0.0,top
R25,100K,R_0603_1608Metric,54.172,-80.926,-90.0,top
R5,10K,R_0603_1608Metric,40.852,-79.671,180.0,top
R6,100K,R_0603_1608Metric,49.488,-71.416,-90.0,top
R7,10K,R_0603_1608Metric,44.019388,-74.259815,-90.0,top
R8,1K,R_0603_1608Metric,52.839,-72.163,180.0,top
R9,100K,R_0603_1608Metric,44.916,-80.941,-90.0,top
U1,TL074,SOIC127P600X175-14N,49.55,-77.634,180.0,top
U2,TL074,SOIC127P600X175-14N,48.71628,-59.6,180.0,top
