Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C5",0603,4,100nF,C14663
"C10, C7, C8, C9",0603,4,47pF,C1671
"C2, C3",0603,2,560pF,C458906
"C4, C6",CP_Elec_4x5.4,2,10uF,C88654
"D1, D4",D_SOD-123,2,1N5819,C5451628
"FB1, FB2",0603,2,FerriteBead,C1002
J13,PinHeader_1x03_P2.54mm_Vertical,1,"Audio to Daisy, connect to J13",
J14,PinHeader_1x03_P2.54mm_Vertical,1,"Audio from Daisy, connect to J10",
J17,PinHeader_1x03_P2.54mm_Vertical,1,"Audio output, connect to J16",
J18,PinHeader_1x03_P2.54mm_Vertical,1,"Audio input, connect to J15",
J6,PinHeader_2x05_P2.54mm_Vertical,1,Eurorack_Power,
"R10, R13, R15, R17, R18, R19, R20, R6",0603,8,100K,C25803
"R11, R14, R21, R7",0603,4,10K,C25804
"R12, R16, R22, R8",0603,4,1K,C21190
"R5, R9",0603,2,2M,C22976
"U1, U2",SOIC127P600X175-14N,2,TL074,C12594
