Designator,Footprint,Quantity,Value,LCSC Part #
"C4, C6",CP_Elec_4x5.4,2,10uF,C88654
"D1, D4",D_SOD-123,2,1N5819,C5451628
"D2, D3",D_SOD-123,2,1N5819,
"FB1, FB2",0603,2,FerriteBead,C1002
J1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical,1,Out right,
J2,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical,1,In left,
J3,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical,1,Trig Loop,
J4,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical,1,Out left,
J5,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical,1,In right,
"R1, R2, R3, R4",0603,4,130,
S1,SW_TS02-66-140-BK-160-LCR-D,1,Clear,
S2,SW_TS02-66-140-BK-160-LCR-D,1,Record,
"SW1, SW2, SW3, SW4",D6RLRDGNF1LFS,4,~,
