Designator,Mid X,Mid Y,Rotation,Layer
C4,9.9,97.65,180.0,top
C6,9.95,117.15,180.0,top
D1,18.25,112.9,90.0,top
D2,4.8,78.15,0.0,top
D3,6.05,24.6,0.0,top
D4,9.95,93.9,180.0,top
FB1,18.25,108.0,90.0,top
FB2,5.05,84.0,90.0,top
J1,15.0,99.6,180.0,bottom
J2,5.0,112.6,0.0,bottom
J3,10.0,86.1775,0.0,bottom
J4,15.0,112.6,0.0,bottom
J5,5.0,99.6,180.0,bottom
R1,9.95,27.9,0.0,top
R2,4.9,42.95,270.0,top
R3,7.15,54.05,180.0,top
R4,14.85,23.725,270.0,top
S1,15.0,73.6,0.0,bottom
S2,5.0,73.6,0.0,bottom
SW1,10.0,61.1,180.0,bottom
SW2,10.0,47.1,180.0,bottom
SW3,9.9,33.1,180.0,bottom
SW4,10.0,19.1,180.0,bottom
